Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2007,68.1,87.9,76,55.5,51.28,84.97,12.8,,183,0,0,,2.2,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2007,68.1,86.1,76.4,56.4,51.52,84.02,15,,203.33,0,0,,2.1,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2007,68.1,84.3,75.4,56.2,52.23,84.02,13.9,,224.67,0,0,,2.3,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2007,68.1,84.3,75.4,53.3,47.33,83.18,13.9,,308,0,0,,2.1,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2007,68.1,82.5,75,56.4,54.82,81.28,12.8,,277.27,0,0,,2.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2007,66.3,82.5,74.4,58.5,58.4,83.52,8.1,,257,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2007,69.9,89.7,78,62.1,60.67,89.68,9.2,,179.09,0,0,,1.5,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2007,69.9,89.7,78.5,62.7,60.24,88.4,8.1,,228,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2007,71.7,87.9,78.2,63.1,60.71,87.88,12.8,,195,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2007,71.7,89.7,78.9,63,59.42,91.39,9.2,,164.29,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2007,71.7,89.7,78.5,63.3,61.8,88.99,11.4,,212.86,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
