Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2015,68.1,80.7,74.6,56.3,53.18,81.2,11.4,,195.26,0,0,,1.2,40,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2015,68.1,80.7,74.7,61.7,65.21,81.55,9.2,,196.67,0,0,,1.1,23.3,,"Mist, Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2015,69.9,84.3,75.6,62.9,66.44,83.57,11.4,,251.43,0,0,,1,9.5,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2015,69.9,86.1,77.5,62.9,62.2,86.85,11.4,,124.38,0,0,,1.2,9.1,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2015,73.5,87.9,80.2,61.2,52.94,87.88,13.9,,156.25,0,0,,1.6,4.8,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2015,73.5,87.9,79,62.8,58.62,87.88,11.4,,240.71,0,0,,1.3,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2015,69.9,86.1,77.7,59.2,55.25,86.17,10.3,,240,0,0,,1.2,7.5,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2015,68.1,87.9,77.3,53.8,45.58,86.69,10.3,,215.83,0,0,,1.2,9.1,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2015,71.7,89.7,79.6,46.1,31.74,86.33,11.4,,150,0,0,,1.5,6.8,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2015,69.9,87.9,77.6,49.7,38.28,85.82,11.4,,170,0,0,,1.3,4.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2015,69.9,86.1,77.5,52.2,42.48,83.97,11.4,,260.83,0,0,,1.6,1.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/12/2015,68.1,86.1,77.3,53,44.46,84.28,11.4,,236,0,0,,1.4,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/13/2015,68.1,87.9,77.3,53.5,45.61,84.48,11.4,,177,0,0,,1.4,1.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/14/2015,68.1,84.3,75.9,56,50.82,83.18,11.4,,237.06,0,0,,1.2,4.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/15/2015,66.3,86.1,76.3,57.5,54.61,85.58,9.2,,255.38,0,0,,1,3.8,,"Mist, Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/16/2015,69.9,84.3,77.1,56.7,50.4,85.15,10.3,,222.14,0,0,,1.1,2.9,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/17/2015,69.9,87.9,77.5,55.9,50.56,86.69,11.4,,174.67,0,0,,1,5.8,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/18/2015,71.7,87.9,77.6,56.1,49.19,85.49,10.3,,176.25,0,0,,1.1,2.4,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/19/2015,69.9,82.5,75.7,63.2,66.01,84.1,12.8,,218.46,0,0,,1.1,1.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/20/2015,69.9,84.3,76.5,64.5,69.19,84.1,9.2,,187.65,0,0,,1.1,9.6,,"Mist, Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/21/2015,71.7,84.3,77,58.6,54.36,82.84,13.9,,227.27,0,0,,1.5,21.5,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/22/2015,71.7,82.5,76.2,62.8,63.86,84.1,13.9,,220.77,0,0,,1.6,47.4,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/23/2015,69.9,84.3,76.6,60.5,58.25,84.02,13.9,,243.81,0,0,,1.7,37.9,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/24/2015,71.7,84.3,76.5,60.7,58.42,85.15,12.8,,204.12,0,0,,1.4,45.2,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/25/2015,71.7,86.1,77.3,62,61.52,85.58,12.8,,286.36,0,0,,1.2,44.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/26/2015,71.7,84.3,76.2,59.7,57.27,85.15,12.8,,295.56,0,0,,1.4,45,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/27/2015,68.1,82.5,74.1,57.5,57.07,82.56,13.9,,286.19,0,0,,1.4,19.6,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/28/2015,68.1,86.1,76.3,63.1,64.56,88.54,12.8,,268.24,0,0,,1.2,7.8,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/29/2015,68.1,86.1,76.2,62.5,63.53,88.54,10.3,,263.33,0,0,,1.6,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/30/2015,73.5,89.7,80.6,57.9,47.28,88.62,13.9,,126.84,0,0,,2,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/31/2015,75.3,91.5,82.6,53.8,37.55,89.65,11.4,,156.32,0,0,,1.8,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/01/2015,71.7,91.5,79.9,57.5,48.69,89.19,10.3,,234.62,0,0,,1.7,0,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/02/2015,71.7,84.3,77.7,61.8,58.75,86.65,11.4,,243.12,0,0,,1.8,6,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/03/2015,69.9,87.9,79.2,56.5,46.43,87.24,10.3,,212.31,0,0,,1.8,8.8,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/04/2015,75.3,91.5,82,58.6,46.68,90.19,12.8,,191.88,0,0,,1.7,14.6,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/05/2015,73.5,93.3,81.7,57.9,46.99,89.27,10.3,,165,0,0,,1.6,22.3,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/06/2015,73.5,89.7,80.3,57.9,48.63,87.47,10.3,,212.5,0,0,,1.5,25,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/07/2015,73.5,84.3,77.6,64.7,65.72,84.1,13.9,,226.47,0,0,,1.7,18.7,,"Smoke Or Haze",18.94017,72.83486,""
