Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2008,68.1,84.3,76,58.7,57.5,84.55,15,,268.46,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2008,64.5,84.3,74,56.8,56.61,83.57,13.9,,210,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2008,64.5,86.1,74.9,59.3,60.41,85.58,10.3,,215.83,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2008,66.3,87.9,77.4,59.3,55.72,88.62,8.1,,292.22,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2008,69.9,91.5,79.2,58,49.98,90.47,10.3,,202.5,0,0,,1.5,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2008,69.9,93.3,79.6,56.9,47.88,90.99,8.1,,179.09,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2008,71.7,93.3,79.2,58,49.99,90.57,11.4,,175.71,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2008,71.7,91.5,80.1,61,53.68,89.65,11.4,,124,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2008,71.7,89.7,79.8,60.9,54.59,88.62,9.2,,158.33,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2008,71.7,89.7,78.7,62.1,58.37,88.62,9.2,,203.53,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2008,69.9,87.9,77.5,60.5,56.92,87.88,10.3,,222.22,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/12/2008,68.1,93.3,80,60.4,53.01,94.36,8.1,,190,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/13/2008,69.9,89.7,79.2,64.2,61.72,92.44,10.3,,294.29,0,0,,1.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/14/2008,71.7,91.5,81,63.5,57.07,91.54,11.4,,235.45,0,0,,1.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/15/2008,73.5,93.3,81.9,64.2,56.47,93.47,11.4,,212.31,0,0,,1.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/16/2008,75.3,96.9,84.4,62.8,50.36,95.28,9.2,,161.43,0,0,,1.6,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/17/2008,75.3,93.3,82.2,62.5,52.93,93.47,6.9,,207.27,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
