Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2002,71.7,75.3,74,61.1,64.39,77.63,4.7,,90,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2002,71.7,91.5,81.8,48.8,33.24,87.77,8.1,,140,0,0,,2.3,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2002,69.9,89.7,79.1,45.7,32.7,86.01,8.1,,81.88,0,0,,2.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2002,64.5,89.7,77.3,55.7,50.86,87.64,6.9,,104.12,0,0,,2.3,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2002,73.5,91.5,79.8,63.7,59.59,95.04,8.1,,124.58,0,0,,2.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2002,68.1,87.9,76.9,62.8,62.35,90.47,10.3,,185,0,0,,2.1,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2002,69.9,91.5,79.4,66.5,66.5,94.46,8.1,,228.75,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2002,71.7,93.3,80.2,64.9,62.61,94.36,9.2,,85.33,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2002,77.1,95.1,82.3,62.4,52.38,94.66,9.2,,146.92,0,0,,2.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2002,77.1,95.1,83.4,62.9,51.52,98.86,9.2,,124.21,0,0,,2.3,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2002,71.7,93.3,80.7,61.3,53.64,91.54,8.1,,196,0,0,,2.1,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/12/2002,71.7,93.3,80.6,57.4,49.01,89.91,9.2,,235,0,0,,2.1,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/13/2002,68.1,95.1,80.2,56.7,49.1,92.84,9.2,,226.67,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/14/2002,68.1,93.3,78.6,60.6,57.72,93.65,6.9,,239.23,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/15/2002,68.1,86.1,76.7,67.5,74.6,92.12,11.4,,248.46,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/16/2002,71.7,87.9,78.1,68.7,74.23,96.08,11.4,,215,0,0,,2.1,,,"Mist, Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/17/2002,69.9,86.1,76.2,66.3,71.91,90.77,11.4,,181.58,0,0,,2.5,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/18/2002,68.1,82.5,74.4,56.5,56.24,81.53,9.2,,242.31,0,0,,2.4,,,"Smoke Or Haze",18.94017,72.83486,""
