Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2016,75.3,95.1,85.7,53.2,34.52,92.71,11.4,,210.5,0,0,,2,0,1014.7,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2016,72.3,91.5,81.3,55.3,42.74,88.62,10.3,,176,0,0,,1.6,18,1017.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2016,69.5,87.9,78.8,58.1,50.95,87.88,11.4,,245.57,0,0,,1.4,23.6,1015.3,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2016,70.3,93.3,80.3,55.6,45.19,89.66,10.3,,168.89,0,0,,1.6,8.4,1015.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2016,71.3,89.7,81.6,56.1,42.94,95.31,10.3,,195.38,0,0,,1.4,0.4,1014.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2016,72.3,91.5,81.4,57.4,45.55,90.82,10.3,,170,0,0,,1.5,2.4,1016,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2016,72.6,87.9,79.7,62.3,56.17,87.88,9.2,,213.36,0,0,,1.2,24.2,1014.9,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2016,71.6,89.7,80.5,61.6,53.76,91.39,8.1,,216.56,0,0,,1.3,21.5,1015.4,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2016,70.7,89.7,80.1,56.3,46.14,87.6,10.3,,165.2,0,0,,1.8,4,1013.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2016,70.3,91.5,79.7,54.2,42.95,88.19,10.3,,179.88,0,0,,1.5,4,1014.1,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2016,71.3,89.7,79.7,58.2,48.78,89.68,15,,206.21,0,0,,1.4,5.2,1014.5,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/12/2016,71.5,86.1,77.5,63.6,63.68,85.85,11.4,,243.67,0,0,,1.3,16.4,1013,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/13/2016,70.5,84.3,76.7,62.8,63.29,85.15,10.3,,229,0,0,,1.4,14.4,1012.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/14/2016,69.9,82.5,75.7,61.8,62.91,83.52,16.1,,252.53,0,0,,1.5,9.7,1012.5,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/15/2016,68.9,80.7,75,61.4,63.42,81.2,12.8,,276,0,0,,1.6,14,1012.4,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/16/2016,68.9,82.5,76.2,60.5,59.76,81.55,8.1,,242.19,0,0,,1.9,13,1011.8,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/17/2016,71.2,82.5,75.6,58.9,57.88,81.53,11.4,,204.28,0,0,,1.9,18.4,1011.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/18/2016,68.4,82.5,75.4,58.2,57.17,82.17,10.3,,187.67,0,0,,1.5,10.9,1011,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/19/2016,68.1,82.5,75.1,50.6,44.58,81.28,12.8,,198.95,0,0,,1.9,7.3,1011.8,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/20/2016,66.3,84.3,74.3,46.5,38.89,81.34,13.9,,160.43,0,0,,1.8,1.6,1013.7,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/21/2016,62.9,86.1,75.3,48.9,41.6,83.15,11.4,,127.17,0,0,,1.7,0,1014.3,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/22/2016,69.9,89.7,78.3,45.3,32.36,86.01,11.4,,116.65,0,0,,1.9,3.6,1014.4,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/23/2016,69.9,91.5,79.2,48.2,35.17,88.19,11.4,,142.5,0,0,,1.9,9.7,1014.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/24/2016,72.6,91.5,80.7,52.1,38.56,89.19,11.4,,208.32,0,0,,1.8,1.7,1014.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/25/2016,69,87.9,78.2,52.8,43.39,84.97,12.8,,247.38,0,0,,2,3.6,1013.3,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/26/2016,66.3,82.5,75.6,53.6,47.96,82.17,13.9,,238,0,0,,1.9,2.5,1013.3,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/27/2016,68.2,84.3,75.2,61.2,63.74,83.52,11.4,,229.57,0,0,,1.8,4,1013.8,"Mist, Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/28/2016,66.3,89.7,77.8,59.7,55.61,90.47,9.2,,186.76,0,0,,1.4,8.8,1013.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/29/2016,69.1,89.7,80.1,62,56.67,89.68,11.4,,210.65,0,0,,1.4,13.7,1013.9,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/30/2016,72,89.7,80.7,64.4,58.94,92.44,10.3,,269.43,0,0,,1.4,2.8,1013.9,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/31/2016,71.8,87.9,80.2,64.8,60.53,90.47,11.4,,243.62,0,0,,1.6,0,1013.2,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/01/2016,70.8,87.9,80.3,63.4,58.28,89.48,11.4,,271.24,0,0,,1.5,2.9,1013.9,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/02/2016,73.5,91.5,80.6,60.2,51.54,90.19,10.3,,293.9,0,0,,1.8,10.8,1014.1,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/03/2016,67,89.7,78.8,57,49.32,88.4,10.3,,247.64,0,0,,1.7,9.6,1014,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",02/04/2016,68.2,86.1,77.1,58.5,54.42,85.08,13.9,,211.82,0,0,,1.7,4.7,1013.4,"Smoke Or Haze",18.94017,72.83486,""
